time,open,high,low,close,SPY
1383177600,2.26,2.26,2.26,2.26,175.79
1383264000,2.32,2.32,2.32,2.32,176.21
1383523200,2.31,2.31,2.31,2.31,176.83
1383609600,2.37,2.37,2.37,2.37,176.27
1383696000,2.37,2.37,2.37,2.37,177.17
1383782400,2.34,2.34,2.34,2.34,174.93
1383868800,2.45,2.45,2.45,2.45,177.29
1384214400,2.46,2.46,2.46,2.46,176.96
1384300800,2.43,2.43,2.43,2.43,178.38
1384387200,2.4,2.4,2.4,2.4,179.27
1384473600,2.4,2.4,2.4,2.4,180.05
1384732800,2.36,2.36,2.36,2.36,179.42
1384819200,2.42,2.42,2.42,2.42,179.03
1384905600,2.52,2.52,2.52,2.52,178.47
1384992000,2.5,2.5,2.5,2.5,179.91
1385078400,2.44,2.44,2.44,2.44,180.81
1385337600,2.44,2.44,2.44,2.44,180.63
1385424000,2.42,2.42,2.42,2.42,180.68
1385510400,2.46,2.46,2.46,2.46,181.12
1385683200,2.47,2.47,2.47,2.47,181
1385942400,2.51,2.51,2.51,2.51,180.53
1386028800,2.51,2.51,2.51,2.51,179.75
1386115200,2.54,2.54,2.54,2.54,179.73
1386201600,2.58,2.58,2.58,2.58,178.94
1386288000,2.58,2.58,2.58,2.58,180.94
1386547200,2.56,2.56,2.56,2.56,181.4
1386633600,2.51,2.51,2.51,2.51,180.75
1386720000,2.55,2.55,2.55,2.55,178.72
1386806400,2.55,2.55,2.55,2.55,178.13
1386892800,2.54,2.54,2.54,2.54,178.11
1387152000,2.55,2.55,2.55,2.55,179.216
1387238400,2.51,2.51,2.51,2.51,178.65
1387324800,2.57,2.57,2.57,2.57,181.7
1387411200,2.59,2.59,2.59,2.59,181.49
1387497600,2.52,2.52,2.52,2.52,181.56
1387756800,2.56,2.56,2.56,2.56,182.53
1387843200,2.61,2.61,2.61,2.61,182.93
1388016000,2.58,2.58,2.58,2.58,183.855
1388102400,2.62,2.62,2.62,2.62,183.845
1388361600,2.6,2.6,2.6,2.6,183.82
1388448000,2.66,2.66,2.66,2.66,184.69
1388620800,2.61,2.61,2.61,2.61,182.92
1388707200,2.6,2.6,2.6,2.6,182.885
1388966400,2.58,2.58,2.58,2.58,182.36
1389052800,2.56,2.56,2.56,2.56,183.48
1389139200,2.58,2.58,2.58,2.58,183.52
1389225600,2.53,2.53,2.53,2.53,183.64
1389312000,2.49,2.49,2.49,2.49,184.14
1389571200,2.45,2.45,2.45,2.45,181.685
1389657600,2.49,2.49,2.49,2.49,183.67
1389744000,2.49,2.49,2.49,2.49,184.66
1389830400,2.45,2.45,2.45,2.45,184.42
1389916800,2.44,2.44,2.44,2.44,183.635
1390262400,2.45,2.45,2.45,2.45,184.18
1390348800,2.43,2.43,2.43,2.43,184.3
1390435200,2.4,2.4,2.4,2.4,182.79
1390521600,2.38,2.38,2.38,2.38,178.89
1390780800,2.41,2.41,2.41,2.41,178.01
1390867200,2.39,2.39,2.39,2.39,179.07
1390953600,2.33,2.33,2.33,2.33,177.35
1391040000,2.36,2.36,2.36,2.36,179.23
1391126400,2.33,2.33,2.33,2.33,178.18
1391385600,2.31,2.31,2.31,2.31,174.17
1391472000,2.33,2.33,2.33,2.33,175.385
1391558400,2.38,2.38,2.38,2.38,175.17
1391644800,2.4,2.4,2.4,2.4,177.48
1391731200,2.41,2.41,2.41,2.41,179.68
1391990400,2.38,2.38,2.38,2.38,180.01
1392076800,2.4,2.4,2.4,2.4,181.98
